authors,avg_rating,ratings_count,title
Delia Owens,4.8,19380,Where the Crawdads Sing
IglooBooks,N/A,0,Disney: Storybook Collection Advent Calendar
Daniel Silva,4.6,631,The New Girl: A Novel (Gabriel Allon Book 19)
Tara Westover,4.7,8741,Educated: A Memoir
David Baldacci,4.1,318,One Good Deed
Elin Hilderbrand,4.3,590,Summer of '69
Mariana Zapata,4.7,293,The Best Thing
Dav Pilkey,4.8,59,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7)
Nora Roberts,4.5,569,Under Currents: A Novel
Mo Willems,4.8,103,The Pigeon HAS to Go to School!
Mark Edwards,4.2,434,Here To Stay
Claire McGowan,4.3,1065,What You Did
James Patterson,3.7,42,The Inn
Mark R. Levin,4.9,2256,Unfreedom of the Press
Toni Morrison,4.2,978,Beloved
Candace Owens,N/A,0,Blackout: How Black America Can Make Its Second Escape from the Democrat Plantation
Colson Whitehead,4.5,151,The Nickel Boys: A Novel
Alex Michaelides,4.3,2923,The Silent Patient
Elizabeth Gilbert,4.2,484,City of Girls: A Novel
Sandra Brown,4.0,69,Outfox
The College Board,4.3,43,Official SAT Study Guide 2020 Edition
Emily Winfield Martin,4.8,2084,The Wonderful Things You Will Be
Robert Crais,4.2,161,A Dangerous Man (An Elvis Cole and Joe Pike Novel Book 18)
Lisa Taddeo,3.9,173,Three Women
Michelle Obama,4.9,14507,Becoming
Mary Beth Keane,4.3,342,"Ask Again, Yes: A Novel"
Jennifer Weiner,3.8,568,Mrs. Everything: A Novel
Mark Manson,4.4,5685,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life
Michael Chatfield,4.3,120,The Fifth Realm (Ten Realms Book 5)
Gary Chapman,4.8,12471,The 5 Love Languages: The Secret to Love that Lasts
"Publication Manual of the American Psychological Association, 6th Edition",4.3,4226,"Publication Manual of the American Psychological Association, 6th Edition"
Harper Lee,4.8,10248,To Kill a Mockingbird
Julie Danneberg,4.7,442,First Day Jitters (Mrs. Hartwell's Classroom Adventures)
Wizards RPG Team,4.6,3512,Player's Handbook (Dungeons & Dragons)
Catherine Coulter,4.6,113,Labyrinth (An FBI Thriller Book 23)
School Zone,4.8,1371,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading, Phonics, and More (School Zone Big Workbook Series)"
Tom Rath,4.0,3727,StrengthsFinder 2.0
Wizards RPG Team,4.7,260,"Dungeons & Dragons Core Rulebooks Gift Set (Special Foil Covers Edition with Slipcase, Player's Handbook, Dungeon Master's Guide, Monster Manual, DM Screen)"
Brené Brown,4.5,431,Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.
Linda Holmes,4.4,444,Evvie Drake Starts Over: A Novel
Garth Stein,4.7,8549,The Art of Racing in the Rain: A Novel
Toni Morrison,4.2,967,The Bluest Eye (Vintage International)
Lysa TerKeurst,4.8,889,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered
Tui T. Sutherland,3.7,146,"The Poison Jungle (Wings of Fire, Book 13)"
F. Scott Fitzgerald,4.3,6240,The Great Gatsby
ACT,4.3,37,"The Official ACT Prep Guide 2019-2020, (Book + 5 Practice Tests + Bonus Online Content)"
Don Miguel Ruiz,4.6,8038,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)
Adir Levy,4.8,644,What Should Danny Do? (The Power to Choose Series)
Adir Levy,4.8,644,What Should Danny Do? (The Power to Choose Series)
Rachel Hollis,4.6,10805,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be"
Ray Bradbury,4.4,3427,Fahrenheit 451
Ian Morgan Cron,4.7,543,The Road Back to You: An Enneagram Journey to Self-Discovery
Anna Ellory,4.4,135,The Rabbit Girls
Thomas C Foster,4.3,861,"How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines, Revised Edition"
Lisa Wingate,4.7,10268,Before We Were Yours: A Novel
Jason Bulmahn,4.0,70,Pathfinder Core Rulebook (P2)
Ocean Ramsey,5.0,2,"What You Should Know About Sharks: Shark Language, social behavior, human inter- actions, and life saving information"
"van der Kolk M.D., Bessel",4.8,2033,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma"
David Goggins,4.8,3303,Can't Hurt Me: Master Your Mind and Defy the Odds
Paulo Coelho,4.6,12416,The Alchemist
Mollie Hemingway,4.8,502,Justice on Trial: The Kavanaugh Confirmation and the Future of the Supreme Court
Eric Carle,4.6,3701,The Very Hungry Caterpillar
"Li MD, William W",4.4,203,Eat to Beat Disease: The New Science of How Your Body Can Heal Itself
Melissa Payne,4.7,217,The Secrets of Lost Stones
Celeste Ng,4.3,4355,Little Fires Everywhere: A Novel
Jana DeLeon,4.9,325,Cajun Fried Felony (A Miss Fortune Mystery Book 15)
Jia Tolentino,4.0,11,Trick Mirror: Reflections on Self-Delusion
Cassy Joy Garcia,4.9,468,"Cook Once, Eat All Week: 26 Weeks of Gluten-Free, Affordable  Meal Prep to Preserve Your Time & Sanity"
S. E. Hinton,4.7,2524,The Outsiders
James Clear,4.9,1157,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
Megan Miranda,4.0,152,The Last House Guest
Kristina McMorris,4.3,1084,Sold on a Monday: A Novel
Rachel Hollis,4.6,1638,"Girl, Stop Apologizing (Audible Exclusive Edition): A Shame-Free Plan for Embracing and Achieving Your Goals"
Ryan T. Higgins,4.9,245,We Don't Eat Our Classmates
Yuval Noah Harari,4.5,6128,Sapiens: A Brief History of Humankind
Samin Nosrat,4.8,927,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking"
Heather Morris,4.6,2580,The Tattooist of Auschwitz: A Novel
Dale Carnegie,4.6,7459,How to Win Friends & Influence People
Dave Ramsey,4.5,86,The Total Money Makeover: A Proven Plan for Financial Fitness
Richard Powers,4.4,878,The Overstory: A Novel
Richard Russo,3.9,64,Chances Are . . .: A novel
Gabrielle Bernstein,N/A,0,Super Attractor: Methods for Manifesting a Life beyond Your Wildest Dreams
Adam Rubin,4.5,2418,Dragons Love Tacos
Dr. Seuss,4.8,4724,"Oh, the Places You'll Go!  "
J. K. Rowling,N/A,0,Harry Potter and the Goblet of Fire: The Illustrated Edition
Toni Morrison,4.2,407,Song of Solomon
Elie Wiesel,4.7,4946,Night (Night)
Brené Brown,4.7,3292,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead"
Tao Le,4.1,162,"First Aid for the USMLE Step 1 2019,  Twenty-ninth edition"
Adir Levy,4.8,241,What Should Danny Do? School Day (The Power to Choose Series)
Ruth Ware,4.2,140,The Turn of the Key
Jennifer Smith,4.5,2348,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.
Lisa Jewell,4.4,1244,Then She Was Gone: A Novel
Rand McNally,4.6,169,Rand McNally 2020 Large Scale Road Atlas
Hopscotch Girls,4.6,230,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls"
Giles Andreae,4.6,3986,Giraffes Can't Dance
Jordan B. Peterson,4.6,5225,12 Rules for Life: An Antidote to Chaos
American Psychiatric Association,4.2,3052,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5"
Amy Ramos,4.1,2179,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle
Craig Smith,4.7,5982,The Wonky Donkey
William Golding,4.3,2878,Lord of the Flies
Jamie Oliver,4.5,358,5 Ingredients: Quick & Easy Food
Gail Honeyman,4.6,5383,Eleanor Oliphant Is Completely Fine: A Novel
Chris Voss,4.8,2288,Never Split the Difference: Negotiating as if Your Life Depended on It
William H. McRaven,4.7,2715,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World
David McCullough,4.2,567,The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West
Ann Whitford Paul,4.6,1339,If Animals Kissed Good Night
Margaret Wise Brown,4.7,3473,Goodnight Moon
Heidi Murkoff,4.4,999,What to Expect When You're Expecting
Dr. Jason Fung,4.7,2542,The Obesity Code: Unlocking the Secrets of Weight Loss
Kaplan Test Prep,4.2,232,MCAT Complete 7-Book Subject Review 2020-2021: Online + Book + 3 Practice Tests (Kaplan Test Prep)
Jocko Willink,4.8,2880,Extreme Ownership: How U.S. Navy SEALs Lead and Win
Ariana Madix,N/A,0,Fancy AF Cocktails: Drink Recipes from a Couple of Professional Drinkers
Adrian McKinty,4.1,226,The Chain
Jen Sincero,4.6,4617,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life
