author,rating,no_of_reviews,title
Delia Owens,4.8 out of 5 stars,19332,Where the Crawdads Sing
IglooBooks,0,0,Disney: Storybook Collection Advent Calendar
Daniel Silva,4.6 out of 5 stars,630,The New Girl: A Novel (Gabriel Allon Book 19)
Tara Westover,4.7 out of 5 stars,8729,Educated: A Memoir
David Baldacci,4.1 out of 5 stars,309,One Good Deed
Elin Hilderbrand,4.3 out of 5 stars,584,Summer of '69
Mariana Zapata,4.7 out of 5 stars,282,The Best Thing
Dav Pilkey,4.8 out of 5 stars,55,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7)
Nora Roberts,4.5 out of 5 stars,558,Under Currents: A Novel
Mo Willems,4.8 out of 5 stars,103,The Pigeon HAS to Go to School!
Mark Edwards,4.2 out of 5 stars,407,Here To Stay
Claire McGowan,4.3 out of 5 stars,1045,What You Did
James Patterson,3.7 out of 5 stars,41,The Inn
Mark R. Levin,4.9 out of 5 stars,2253,Unfreedom of the Press
Toni Morrison,4.2 out of 5 stars,978,Beloved
Candace Owens,0,0,Blackout: How Black America Can Make Its Second Escape from the Democrat Plantation
Colson Whitehead,4.5 out of 5 stars,150,The Nickel Boys: A Novel
Alex Michaelides,4.3 out of 5 stars,2918,The Silent Patient
Elizabeth Gilbert,4.2 out of 5 stars,480,City of Girls: A Novel
Sandra Brown,4.0 out of 5 stars,64,Outfox
The College Board,4.3 out of 5 stars,43,Official SAT Study Guide 2020 Edition
Emily Winfield Martin,4.8 out of 5 stars,2081,The Wonderful Things You Will Be
Robert Crais,4.2 out of 5 stars,154,A Dangerous Man (An Elvis Cole and Joe Pike Novel Book 18)
Lisa Taddeo,3.9 out of 5 stars,172,Three Women
Michelle Obama,4.9 out of 5 stars,14499,Becoming
Mary Beth Keane,4.3 out of 5 stars,335,"Ask Again, Yes: A Novel"
Jennifer Weiner,3.8 out of 5 stars,565,Mrs. Everything: A Novel
Mark Manson,4.4 out of 5 stars,5681,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life
Michael Chatfield,4.4 out of 5 stars,112,The Fifth Realm (Ten Realms Book 5)
Gary Chapman,4.8 out of 5 stars,12471,The 5 Love Languages: The Secret to Love that Lasts
Harper Lee,4.8 out of 5 stars,10247,To Kill a Mockingbird
Julie Danneberg,4.7 out of 5 stars,441,First Day Jitters (Mrs. Hartwell's Classroom Adventures)
Wizards RPG Team,4.6 out of 5 stars,3510,Player's Handbook (Dungeons & Dragons)
Catherine Coulter,4.6 out of 5 stars,109,Labyrinth (An FBI Thriller Book 23)
School Zone,4.8 out of 5 stars,1368,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading, Phonics, and More (School Zone Big Workbook Series)"
Tom Rath,4.0 out of 5 stars,3727,StrengthsFinder 2.0
Wizards RPG Team,4.7 out of 5 stars,256,"Dungeons & Dragons Core Rulebooks Gift Set (Special Foil Covers Edition with Slipcase, Player's Handbook, Dungeon Master's Guide, Monster Manual, DM Screen)"
Brené Brown,4.5 out of 5 stars,429,Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.
Brad Thor,4.8 out of 5 stars,508,Backlash: A Thriller (The Scot Harvath Series Book 19)
Linda Holmes,4.4 out of 5 stars,435,Evvie Drake Starts Over: A Novel
Garth Stein,4.7 out of 5 stars,8544,The Art of Racing in the Rain: A Novel
Toni Morrison,4.2 out of 5 stars,968,The Bluest Eye (Vintage International)
Lysa TerKeurst,4.8 out of 5 stars,887,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered
Tui T. Sutherland,3.7 out of 5 stars,144,"The Poison Jungle (Wings of Fire, Book 13)"
F. Scott Fitzgerald,4.3 out of 5 stars,6240,The Great Gatsby
ACT,4.3 out of 5 stars,37,"The Official ACT Prep Guide 2019-2020, (Book + 5 Practice Tests + Bonus Online Content)"
Don Miguel Ruiz,4.6 out of 5 stars,8036,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)
Adir Levy,4.8 out of 5 stars,643,What Should Danny Do? (The Power to Choose Series)
Rachel Hollis,4.6 out of 5 stars,10803,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be"
Ray Bradbury,4.4 out of 5 stars,3426,Fahrenheit 451
Ian Morgan Cron,4.7 out of 5 stars,541,The Road Back to You: An Enneagram Journey to Self-Discovery
